count,loss,learning_rate
100,0.21918697655200958,0.001
200,0.3617871403694153,0.001
300,0.08990252017974854,0.001
400,0.05398009344935417,0.001
500,0.07689177989959717,0.001
600,0.09920260310173035,0.001
700,0.08455067873001099,0.001
800,0.04912203550338745,0.001
900,0.07364331185817719,0.001
1000,0.040749162435531616,0.001
1100,0.07510004937648773,0.001
1200,0.08976204693317413,0.001
1300,0.051835689693689346,0.001
1400,0.07574324309825897,0.001
1500,0.07196898013353348,0.001
1600,0.08767183125019073,0.001
1700,0.07043567299842834,0.001
1800,0.04408907890319824,0.001
1900,0.07998998463153839,0.001
2000,0.09511441737413406,0.001
2100,0.04878471791744232,0.001
2200,0.06530188024044037,0.001
2300,0.046170301735401154,0.001
2400,0.06398221850395203,0.001
2500,0.03685197979211807,0.001
2600,0.16539190709590912,0.001
2700,0.02821936458349228,0.001
2800,0.02376803755760193,0.001
2900,0.04596596956253052,0.001
3000,0.13235044479370117,0.001
3100,0.04053165763616562,0.001
3200,0.05255742743611336,0.001
3300,0.04704979807138443,0.001
3400,0.0265337061136961,0.001
3500,0.061049092561006546,0.001
3600,0.04374229907989502,0.001
3700,0.0501350536942482,0.001
3800,0.05113058537244797,0.001
3900,0.06126479431986809,0.001
4000,0.03699629008769989,0.0009000000000000001
4100,0.029786795377731323,0.0009000000000000001
4200,0.06154412031173706,0.0009000000000000001
4300,0.05469270050525665,0.0009000000000000001
4400,0.03622773289680481,0.0009000000000000001
4500,0.033550865948200226,0.0009000000000000001
4600,0.03305631875991821,0.0009000000000000001
4700,0.03298332542181015,0.0009000000000000001
4800,0.045338086783885956,0.0009000000000000001
4900,0.028228068724274635,0.0009000000000000001
5000,0.03451312333345413,0.0009000000000000001
5100,0.03976921737194061,0.0009000000000000001
5200,0.041487548500299454,0.0009000000000000001
5300,0.029140908271074295,0.0009000000000000001
5400,0.0484393946826458,0.0009000000000000001
5500,0.040149737149477005,0.0009000000000000001
5600,0.038319677114486694,0.0009000000000000001
5700,0.02746047079563141,0.0009000000000000001
5800,0.03864787891507149,0.0009000000000000001
5900,0.10217616707086563,0.0009000000000000001
6000,0.08961109817028046,0.0009000000000000001
6100,0.0518762543797493,0.0009000000000000001
6200,0.04466833919286728,0.0009000000000000001
6300,0.032136186957359314,0.0009000000000000001
6400,0.03642892464995384,0.0009000000000000001
6500,0.027262303978204727,0.0009000000000000001
6600,0.053490135818719864,0.0009000000000000001
6700,0.04384110867977142,0.0009000000000000001
6800,0.036548782140016556,0.0009000000000000001
6900,0.03167527914047241,0.0009000000000000001
7000,0.0302860327064991,0.0009000000000000001
7100,0.03803124651312828,0.0009000000000000001
7200,0.03597308695316315,0.0009000000000000001
7300,0.022523250430822372,0.0009000000000000001
7400,0.013698088005185127,0.0009000000000000001
7500,0.04915349930524826,0.0009000000000000001
7600,0.03673257678747177,0.0009000000000000001
7700,0.033402785658836365,0.0009000000000000001
7800,0.03322668373584747,0.0009000000000000001
7900,0.046741992235183716,0.0008100000000000001
8000,0.16217225790023804,0.0008100000000000001
8100,0.03279711306095123,0.0008100000000000001
8200,0.11150436848402023,0.0008100000000000001
8300,0.05015750229358673,0.0008100000000000001
8400,0.04516007378697395,0.0008100000000000001
8500,0.024428527802228928,0.0008100000000000001
8600,0.0434369221329689,0.0008100000000000001
8700,0.05195301026105881,0.0008100000000000001
8800,0.13045544922351837,0.0008100000000000001
8900,0.025594688951969147,0.0008100000000000001
9000,0.027563558891415596,0.0008100000000000001
9100,0.12874598801136017,0.0008100000000000001
9200,0.02300700917840004,0.0008100000000000001
9300,0.040574319660663605,0.0008100000000000001
9400,0.051118314266204834,0.0008100000000000001
9500,0.06545769423246384,0.0008100000000000001
9600,0.12667571008205414,0.0008100000000000001
9700,0.06156090274453163,0.0008100000000000001
9800,0.02551036886870861,0.0008100000000000001
9900,0.013926087878644466,0.0008100000000000001
10000,0.04523492231965065,0.0008100000000000001
10100,0.03011361137032509,0.0008100000000000001
10200,0.03136171028017998,0.0008100000000000001
10300,0.03455892950296402,0.0008100000000000001
10400,0.03767314925789833,0.0008100000000000001
10500,0.0925348550081253,0.0008100000000000001
10600,0.032643720507621765,0.0008100000000000001
10700,0.018648626282811165,0.0008100000000000001
10800,0.05636607110500336,0.0008100000000000001
10900,0.05886635556817055,0.0008100000000000001
11000,0.024802125990390778,0.0008100000000000001
11100,0.03092806227505207,0.0008100000000000001
11200,0.017080150544643402,0.0008100000000000001
11300,0.043463416397571564,0.0008100000000000001
11400,0.027667881920933723,0.0008100000000000001
11500,0.02594156563282013,0.0008100000000000001
11600,0.03770807385444641,0.0008100000000000001
11700,0.024927718564867973,0.0008100000000000001
11800,0.03303580358624458,0.000729
11900,0.02232101932168007,0.000729
12000,0.03963029384613037,0.000729
12100,0.02760072611272335,0.000729
12200,0.017460495233535767,0.000729
12300,0.12364962697029114,0.000729
12400,0.0497218519449234,0.000729
12500,0.04904666170477867,0.000729
12600,0.05738242715597153,0.000729
12700,0.03477931022644043,0.000729
12800,0.11122433841228485,0.000729
12900,0.03384001553058624,0.000729
13000,0.04095054790377617,0.000729
13100,0.025131823495030403,0.000729
13200,0.03971712291240692,0.000729
13300,0.09572440385818481,0.000729
13400,0.026414748281240463,0.000729
13500,0.04174327477812767,0.000729
13600,0.015929419547319412,0.000729
13700,0.032022032886743546,0.000729
13800,0.0231919065117836,0.000729
13900,0.027150994166731834,0.000729
14000,0.02348215878009796,0.000729
14100,0.09205533564090729,0.000729
14200,0.06640084832906723,0.000729
14300,0.02880680374801159,0.000729
14400,0.02282518520951271,0.000729
14500,0.03194360435009003,0.000729
14600,0.02550790086388588,0.000729
14700,0.034967754036188126,0.000729
14800,0.06022776663303375,0.000729
14900,0.026866689324378967,0.000729
15000,0.045618798583745956,0.000729
15100,0.020951494574546814,0.000729
15200,0.037148866802453995,0.000729
15300,0.06545004993677139,0.000729
15400,0.03133660554885864,0.000729
15500,0.01672140136361122,0.000729
15600,0.022947870194911957,0.000729
15700,0.02036011964082718,0.0006561000000000001
15800,0.028388425707817078,0.0006561000000000001
15900,0.022341113537549973,0.0006561000000000001
16000,0.04618044197559357,0.0006561000000000001
16100,0.02463527023792267,0.0006561000000000001
16200,0.09735311567783356,0.0006561000000000001
16300,0.018146438524127007,0.0006561000000000001
16400,0.032573215663433075,0.0006561000000000001
16500,0.02159075438976288,0.0006561000000000001
16600,0.03120432235300541,0.0006561000000000001
16700,0.028004053980112076,0.0006561000000000001
16800,0.013661952689290047,0.0006561000000000001
16900,0.0705413967370987,0.0006561000000000001
17000,0.01354609802365303,0.0006561000000000001
17100,0.038810115307569504,0.0006561000000000001
17200,0.027808692306280136,0.0006561000000000001
17300,0.01859096810221672,0.0006561000000000001
17400,0.03702928125858307,0.0006561000000000001
17500,0.0475875586271286,0.0006561000000000001
17600,0.025800015777349472,0.0006561000000000001
17700,0.02290523797273636,0.0006561000000000001
17800,0.02769419737160206,0.0006561000000000001
17900,0.026449061930179596,0.0006561000000000001
18000,0.03725038841366768,0.0006561000000000001
18100,0.03294315189123154,0.0006561000000000001
18200,0.04778532311320305,0.0006561000000000001
18300,0.02072269283235073,0.0006561000000000001
18400,0.023561198264360428,0.0006561000000000001
18500,0.03980942815542221,0.0006561000000000001
18600,0.02690678834915161,0.0006561000000000001
18700,0.02329016663134098,0.0006561000000000001
18800,0.023238394409418106,0.0006561000000000001
18900,0.028386469930410385,0.0006561000000000001
19000,0.01622692495584488,0.0006561000000000001
19100,0.03301120176911354,0.0006561000000000001
19200,0.017641769722104073,0.0006561000000000001
19300,0.02775597758591175,0.0006561000000000001
19400,0.024119213223457336,0.0006561000000000001
19500,0.022786123678088188,0.0006561000000000001
19600,0.019727224484086037,0.00059049
19700,0.02412358671426773,0.00059049
19800,0.019881851971149445,0.00059049
19900,0.03378234803676605,0.00059049
20000,0.08316238969564438,0.00059049
20100,0.056102268397808075,0.00059049
20200,0.024643514305353165,0.00059049
20300,0.02277221903204918,0.00059049
20400,0.01764998957514763,0.00059049
20500,0.018663156777620316,0.00059049
20600,0.013679309748113155,0.00059049
20700,0.025718700140714645,0.00059049
20800,0.025123823434114456,0.00059049
20900,0.09421166032552719,0.00059049
21000,0.017033224925398827,0.00059049
21100,0.026070542633533478,0.00059049
21200,0.046549491584300995,0.00059049
21300,0.017728058621287346,0.00059049
21400,0.04594532400369644,0.00059049
21500,0.02472635731101036,0.00059049
21600,0.04160193353891373,0.00059049
21700,0.037870414555072784,0.00059049
21800,0.031351834535598755,0.00059049
21900,0.020607169717550278,0.00059049
22000,0.01876422017812729,0.00059049
22100,0.038930803537368774,0.00059049
22200,0.016109256073832512,0.00059049
22300,0.03203745186328888,0.00059049
22400,0.0511060506105423,0.00059049
22500,0.020037051290273666,0.00059049
22600,0.016723157837986946,0.00059049
22700,0.025047902017831802,0.00059049
22800,0.020802952349185944,0.00059049
22900,0.11595244705677032,0.00059049
23000,0.06121332570910454,0.00059049
23100,0.03503233939409256,0.00059049
23200,0.019661782309412956,0.00059049
23300,0.019055936485528946,0.00059049
23400,0.06327233463525772,0.00059049
23500,0.015255972743034363,0.000531441
23600,0.02218283712863922,0.000531441
23700,0.016485705971717834,0.000531441
23800,0.02214641496539116,0.000531441
23900,0.025297747924923897,0.000531441
24000,0.02496064268052578,0.000531441
24100,0.0165537241846323,0.000531441
24200,0.026674780994653702,0.000531441
24300,0.0525834895670414,0.000531441
24400,0.022798124700784683,0.000531441
24500,0.02372930198907852,0.000531441
24600,0.05994173511862755,0.000531441
24700,0.026595547795295715,0.000531441
24800,0.028473319485783577,0.000531441
24900,0.020647741854190826,0.000531441
25000,0.024854514747858047,0.000531441
25100,0.02245580032467842,0.000531441
25200,0.029966332018375397,0.000531441
25300,0.02445250190794468,0.000531441
25400,0.020312592387199402,0.000531441
25500,0.036251723766326904,0.000531441
25600,0.02891356870532036,0.000531441
25700,0.03533897548913956,0.000531441
25800,0.016171704977750778,0.000531441
25900,0.018601512536406517,0.000531441
26000,0.01961584948003292,0.000531441
26100,0.024150993674993515,0.000531441
26200,0.023638738319277763,0.000531441
26300,0.021825484931468964,0.000531441
26400,0.1580735743045807,0.000531441
26500,0.017887365072965622,0.000531441
26600,0.05768356844782829,0.000531441
26700,0.014287691563367844,0.000531441
26800,0.026251308619976044,0.000531441
26900,0.015167893841862679,0.000531441
27000,0.020865563303232193,0.000531441
27100,0.030878525227308273,0.000531441
27200,0.02014082297682762,0.000531441
27300,0.03045479580760002,0.000531441
27400,0.027025699615478516,0.0004782969
27500,0.01900094747543335,0.0004782969
27600,0.02108345553278923,0.0004782969
27700,0.02052081748843193,0.0004782969
27800,0.022015893831849098,0.0004782969
27900,0.011811882257461548,0.0004782969
28000,0.012437746860086918,0.0004782969
28100,0.0450529009103775,0.0004782969
28200,0.06486867368221283,0.0004782969
28300,0.02464139834046364,0.0004782969
28400,0.024257859215140343,0.0004782969
28500,0.014318002387881279,0.0004782969
28600,0.018078461289405823,0.0004782969
28700,0.01849454641342163,0.0004782969
28800,0.011829294264316559,0.0004782969
28900,0.03866294026374817,0.0004782969
29000,0.017692232504487038,0.0004782969
29100,0.041441164910793304,0.0004782969
29200,0.09497320652008057,0.0004782969
29300,0.026622965931892395,0.0004782969
29400,0.030677784234285355,0.0004782969
29500,0.02468361146748066,0.0004782969
29600,0.02096421644091606,0.0004782969
29700,0.02500252053141594,0.0004782969
29800,0.023711903020739555,0.0004782969
29900,0.058823034167289734,0.0004782969
30000,0.02138732373714447,0.0004782969
30100,0.017795179039239883,0.0004782969
30200,0.023952629417181015,0.0004782969
30300,0.031040042638778687,0.0004782969
30400,0.02106412500143051,0.0004782969
30500,0.012518437579274178,0.0004782969
30600,0.011097465641796589,0.0004782969
30700,0.036724671721458435,0.0004782969
30800,0.014613507315516472,0.0004782969
30900,0.024557270109653473,0.0004782969
31000,0.03317312151193619,0.0004782969
31100,0.015000371262431145,0.0004782969
31200,0.025268767029047012,0.0004782969
31300,0.018886052072048187,0.00043046721
31400,0.029730405658483505,0.00043046721
31500,0.01483943685889244,0.00043046721
31600,0.025255650281906128,0.00043046721
31700,0.04125566408038139,0.00043046721
31800,0.017291530966758728,0.00043046721
31900,0.01874777302145958,0.00043046721
32000,0.024207035079598427,0.00043046721
32100,0.01743418537080288,0.00043046721
32200,0.019571643322706223,0.00043046721
32300,0.022190939635038376,0.00043046721
32400,0.024662159383296967,0.00043046721
32500,0.02129260264337063,0.00043046721
32600,0.019600877538323402,0.00043046721
32700,0.02322993613779545,0.00043046721
32800,0.032888494431972504,0.00043046721
32900,0.014213791117072105,0.00043046721
33000,0.013597896322607994,0.00043046721
33100,0.015524355694651604,0.00043046721
33200,0.031457193195819855,0.00043046721
33300,0.03883606195449829,0.00043046721
33400,0.01703355833888054,0.00043046721
33500,0.03277963027358055,0.00043046721
33600,0.015178024768829346,0.00043046721
33700,0.013098128139972687,0.00043046721
33800,0.031891118735075,0.00043046721
33900,0.01873578131198883,0.00043046721
34000,0.010986167937517166,0.00043046721
34100,0.021458612754940987,0.00043046721
34200,0.02037290297448635,0.00043046721
34300,0.01560678705573082,0.00043046721
34400,0.015796467661857605,0.00043046721
34500,0.019146155565977097,0.00043046721
34600,0.013727299869060516,0.00043046721
34700,0.020304031670093536,0.00043046721
34800,0.014722201973199844,0.00043046721
34900,0.038110680878162384,0.00043046721
35000,0.031448520720005035,0.00043046721
35100,0.015608243644237518,0.00043046721
35200,0.008708622306585312,0.000387420489
35300,0.01548977941274643,0.000387420489
35400,0.028398040682077408,0.000387420489
35500,0.06125199794769287,0.000387420489
35600,0.02189617231488228,0.000387420489
35700,0.01324879378080368,0.000387420489
