count,loss,learning_rate
100,0.16393017768859863,0.001
200,0.08632345497608185,0.0009000000000000001
300,0.0513649582862854,0.0008100000000000001
400,0.054661400616168976,0.000729
500,0.05128667503595352,0.0006561000000000001
600,0.05005594342947006,0.00059049
700,0.05177503451704979,0.000531441
800,0.04850997403264046,0.0004782969
900,0.040623657405376434,0.00043046721
1000,0.0405680388212204,0.000387420489
1100,0.04192102327942848,0.0003486784401
1200,0.03889816999435425,0.00031381059609000004
1300,0.038919299840927124,0.00028242953648100003
1400,0.04230234771966934,0.00025418658283290005
1500,0.04388243332505226,0.00022876792454961005
1600,0.042199864983558655,0.00020589113209464906
1700,0.03915291279554367,0.00018530201888518417
1800,0.04153861477971077,0.00016677181699666576
1900,0.03983926773071289,0.0001500946352969992
2000,0.0406658798456192,0.0001350851717672993
2100,0.042138345539569855,0.00012157665459056936
2200,0.04178924858570099,0.00010941898913151243
2300,0.03872527554631233,9.847709021836118e-05
2400,0.04158642515540123,8.862938119652506e-05
2500,0.03736008703708649,7.976644307687256e-05
2600,0.03538152575492859,7.17897987691853e-05
2700,0.03476409614086151,6.461081889226677e-05
2800,0.042540520429611206,5.81497370030401e-05
2900,0.03634673357009888,5.233476330273609e-05
3000,0.0392061211168766,4.7101286972462485e-05
3100,0.036855291575193405,4.239115827521624e-05
3200,0.03640858829021454,3.8152042447694614e-05
3300,0.029652241617441177,3.433683820292515e-05
3400,0.040810391306877136,3.090315438263264e-05
3500,0.03749283030629158,2.7812838944369376e-05
3600,0.03595399111509323,2.503155504993244e-05
3700,0.04015525430440903,2.2528399544939195e-05
3800,0.035031601786613464,2.0275559590445276e-05
3900,0.03869668394327164,1.8248003631400748e-05
4000,0.03375191241502762,1.6423203268260675e-05
4100,0.03638693690299988,1.4780882941434607e-05
4200,0.038957517594099045,1.3302794647291146e-05
4300,0.0364537313580513,1.1972515182562031e-05
4400,0.03417148068547249,1.0775263664305828e-05
4500,0.037684641778469086,9.697737297875246e-06
4600,0.036549098789691925,8.727963568087722e-06
4700,0.03902691230177879,7.85516721127895e-06
4800,0.03815355896949768,7.069650490151056e-06
4900,0.04268040135502815,6.362685441135951e-06
5000,0.031202122569084167,5.7264168970223554e-06
5100,0.03746194764971733,5.15377520732012e-06
5200,0.039683740586042404,4.638397686588108e-06
5300,0.03780313581228256,4.174557917929298e-06
5400,0.03828080743551254,3.7571021261363684e-06
5500,0.03465781360864639,3.3813919135227317e-06
5600,0.032453753054142,3.0432527221704586e-06
5700,0.03620516508817673,2.7389274499534128e-06
5800,0.036616161465644836,2.4650347049580716e-06
5900,0.035415057092905045,2.2185312344622644e-06
6000,0.03404359519481659,1.996678111016038e-06
6100,0.03432052582502365,1.7970102999144342e-06
6200,0.03365916386246681,1.6173092699229909e-06
6300,0.03392646461725235,1.4555783429306917e-06
6400,0.045122113078832626,1.3100205086376225e-06
6500,0.04084311053156853,1.1790184577738603e-06
6600,0.03496967628598213,1.0611166119964742e-06
6700,0.03541004657745361,9.550049507968269e-07
6800,0.0387270413339138,8.595044557171442e-07
6900,0.03410704433917999,7.735540101454298e-07
7000,0.04401300102472305,6.961986091308869e-07
7100,0.033756718039512634,6.265787482177982e-07
7200,0.04020322486758232,5.639208733960183e-07
7300,0.037170715630054474,5.075287860564165e-07
7400,0.045845091342926025,4.567759074507748e-07
7500,0.039391398429870605,4.1109831670569735e-07
7600,0.0353936031460762,3.699884850351276e-07
7700,0.038193054497241974,3.329896365316149e-07
7800,0.035168521106243134,2.9969067287845343e-07
7900,0.03623199462890625,2.697216055906081e-07
8000,0.035714663565158844,2.427494450315473e-07
8100,0.03575136139988899,2.1847450052839256e-07
8200,0.03684449568390846,1.966270504755533e-07
8300,0.037199489772319794,1.7696434542799797e-07
8400,0.04691446200013161,1.5926791088519817e-07
8500,0.0378778874874115,1.4334111979667837e-07
8600,0.03599093109369278,1.2900700781701054e-07
8700,0.03491866961121559,1.1610630703530949e-07
8800,0.04353109747171402,1.0449567633177854e-07
8900,0.03633464127779007,9.40461086986007e-08
9000,0.03767414018511772,8.464149782874062e-08
9100,0.03814445063471794,7.617734804586656e-08
9200,0.03873049467802048,6.85596132412799e-08
9300,0.03727906197309494,6.170365191715191e-08
9400,0.03695560246706009,5.553328672543672e-08
9500,0.03527514636516571,4.9979958052893047e-08
9600,0.03896200656890869,4.4981962247603745e-08
9700,0.04124574363231659,4.048376602284337e-08
9800,0.036066025495529175,3.6435389420559035e-08
9900,0.03805580362677574,3.279185047850313e-08
10000,0.03412427380681038,2.951266543065282e-08
10100,0.030729439109563828,2.6561398887587538e-08
10200,0.041626282036304474,2.3905258998828786e-08
10300,0.03395054116845131,2.1514733098945908e-08
10400,0.0349368192255497,1.9363259789051318e-08
10500,0.03853853791952133,1.7426933810146187e-08
10600,0.03551587462425232,1.5684240429131568e-08
10700,0.038200195878744125,1.4115816386218411e-08
10800,0.03354595601558685,1.2704234747596571e-08
10900,0.0377514511346817,1.1433811272836913e-08
11000,0.03463819995522499,1.0290430145553223e-08
11100,0.036348387598991394,9.2613871309979e-09
11200,0.035571224987506866,8.33524841789811e-09
11300,0.02987804263830185,7.501723576108299e-09
11400,0.03639567643404007,6.751551218497469e-09
11500,0.033684782683849335,6.076396096647722e-09
11600,0.036345139145851135,5.46875648698295e-09
11700,0.038481831550598145,4.921880838284655e-09
11800,0.03612244874238968,4.42969275445619e-09
11900,0.02943209744989872,3.9867234790105715e-09
12000,0.034162551164627075,3.5880511311095144e-09
12100,0.03978300839662552,3.229246017998563e-09
12200,0.03632974624633789,2.906321416198707e-09
12300,0.033266499638557434,2.6156892745788363e-09
