count,loss
100,0.2932589054107666,0.001
200,0.0836884081363678,0.001
300,0.045933447778224945,0.001
400,0.10402825474739075,0.001
500,0.08821046352386475,0.001
600,0.0544271394610405,0.001
700,0.04919132962822914,0.001
800,0.06359942257404327,0.001
900,0.041068919003009796,0.001
1000,0.06582752615213394,0.001
1100,0.08509185910224915,0.001
1200,0.05229737609624863,0.001
1300,0.04960555583238602,0.001
1400,0.0584925152361393,0.001
1500,0.041609764099121094,0.001
1600,0.06695586442947388,0.001
1700,0.03124997951090336,0.001
1800,0.03886229544878006,0.001
1900,0.05364450812339783,0.001
2000,0.04760844632983208,0.001
2100,0.0518750324845314,0.001
2200,0.05473461002111435,0.001
2300,0.043746039271354675,0.001
2400,0.045590586960315704,0.001
2500,0.04212742671370506,0.0009000000000000001
2600,0.02555079013109207,0.0009000000000000001
2700,0.04379236325621605,0.0009000000000000001
2800,0.047703154385089874,0.0009000000000000001
2900,0.05671284347772598,0.0009000000000000001
3000,0.02822021394968033,0.0009000000000000001
3100,0.06016017496585846,0.0009000000000000001
3200,0.037475839257240295,0.0009000000000000001
3300,0.0466700941324234,0.0009000000000000001
3400,0.05864332616329193,0.0009000000000000001
3500,0.06386737525463104,0.0009000000000000001
3600,0.025743093341588974,0.0009000000000000001
3700,0.0428110770881176,0.0009000000000000001
3800,0.03689158707857132,0.0009000000000000001
3900,0.07567854225635529,0.0009000000000000001
4000,0.03536615148186684,0.0009000000000000001
4100,0.03718526288866997,0.0009000000000000001
4200,0.03666321188211441,0.0009000000000000001
4300,0.054710328578948975,0.0009000000000000001
4400,0.021802205592393875,0.0009000000000000001
4500,0.0333629846572876,0.0009000000000000001
4600,0.03926330432295799,0.0009000000000000001
4700,0.025753023102879524,0.0009000000000000001
4800,0.06232061982154846,0.0009000000000000001
4900,0.02656085416674614,0.0008100000000000001
5000,0.0376775786280632,0.0008100000000000001
5100,0.03878852352499962,0.0008100000000000001
5200,0.027327079325914383,0.0008100000000000001
5300,0.038198597729206085,0.0008100000000000001
5400,0.0681513100862503,0.0008100000000000001
5500,0.0228060781955719,0.0008100000000000001
5600,0.03199083358049393,0.0008100000000000001
5700,0.04150056838989258,0.0008100000000000001
5800,0.030074002221226692,0.0008100000000000001
5900,0.026591280475258827,0.0008100000000000001
6000,0.028438270092010498,0.0008100000000000001
6100,0.03681909665465355,0.0008100000000000001
6200,0.0240984745323658,0.0008100000000000001
6300,0.04167938604950905,0.0008100000000000001
6400,0.10473310202360153,0.0008100000000000001
6500,0.05217726528644562,0.0008100000000000001
6600,0.053521208465099335,0.0008100000000000001
6700,0.035391874611377716,0.0008100000000000001
6800,0.029999639838933945,0.0008100000000000001
6900,0.021014250814914703,0.0008100000000000001
7000,0.024309001863002777,0.0008100000000000001
7100,0.022973615676164627,0.0008100000000000001
7200,0.03324821591377258,0.0008100000000000001
7300,0.027087807655334473,0.000729
7400,0.02798396721482277,0.000729
7500,0.029523327946662903,0.000729
7600,0.024477317929267883,0.000729
7700,0.021031584590673447,0.000729
7800,0.023282121866941452,0.000729
7900,0.0462992787361145,0.000729
8000,0.03093567118048668,0.000729
8100,0.06145415082573891,0.000729
8200,0.036943111568689346,0.000729
8300,0.02873004972934723,0.000729
8400,0.025041740387678146,0.000729
8500,0.02577178180217743,0.000729
8600,0.061091430485248566,0.000729
8700,0.02878842130303383,0.000729
8800,0.024694090709090233,0.000729
8900,0.05803218111395836,0.000729
9000,0.046566370874643326,0.000729
9100,0.025166943669319153,0.000729
9200,0.0412270613014698,0.000729
9300,0.08668757975101471,0.000729
9400,0.06657371670007706,0.000729
9500,0.09563358128070831,0.000729
9600,0.021036984398961067,0.000729
9700,0.03185374289751053,0.0006561000000000001
9800,0.021459108218550682,0.0006561000000000001
9900,0.021672680974006653,0.0006561000000000001
10000,0.030250195413827896,0.0006561000000000001
10100,0.04217512160539627,0.0006561000000000001
10200,0.015140542760491371,0.0006561000000000001
10300,0.0299849696457386,0.0006561000000000001
10400,0.029592644423246384,0.0006561000000000001
10500,0.029088841751217842,0.0006561000000000001
10600,0.017660142853856087,0.0006561000000000001
10700,0.03232255578041077,0.0006561000000000001
10800,0.033476732671260834,0.0006561000000000001
10900,0.0302799753844738,0.0006561000000000001
11000,0.03390146791934967,0.0006561000000000001
11100,0.041659511625766754,0.0006561000000000001
11200,0.020004525780677795,0.0006561000000000001
11300,0.017715126276016235,0.0006561000000000001
11400,0.04915366321802139,0.0006561000000000001
11500,0.020486366003751755,0.0006561000000000001
11600,0.025400809943675995,0.0006561000000000001
11700,0.022188495844602585,0.0006561000000000001
11800,0.03369391709566116,0.0006561000000000001
11900,0.02088681235909462,0.0006561000000000001
12000,0.022819796577095985,0.0006561000000000001
12100,0.033952970057725906,0.00059049
12200,0.06349559128284454,0.00059049
12300,0.05123604089021683,0.00059049
12400,0.01753763109445572,0.00059049
12500,0.06999664008617401,0.00059049
12600,0.059968575835227966,0.00059049
12700,0.020803408697247505,0.00059049
12800,0.03850283473730087,0.00059049
12900,0.02237669751048088,0.00059049
13000,0.016276134178042412,0.00059049
13100,0.03296948969364166,0.00059049
13200,0.06687325239181519,0.00059049
13300,0.02152825891971588,0.00059049
13400,0.025545597076416016,0.00059049
13500,0.027720041573047638,0.00059049
13600,0.023470563814044,0.00059049
13700,0.014832453802227974,0.00059049
13800,0.08773437887430191,0.00059049
13900,0.08944790065288544,0.00059049
14000,0.037143122404813766,0.00059049
